time,supportnumber,commentnumber,repostnumber,text
"昨天 12:28",1920,221,1466,"#就业有位来#求职面试时的自我介绍有“四大注意”：①开门见山，简明扼要，不要超过3分钟。②实事求是，不可吹得天花乱坠。③突出长处，但也不隐瞒短处。④所展示的长处要与申请职位有关……快转给找工作的小伙伴↓↓ "
"昨天 11:51",2477,400,498,"昨天，武汉卫健委通报。没有培养出“活病毒”说明了什么？武汉金银潭医院院长张定宇说，尽管无症状感染者样本核酸检测阳性，但如果新冠病毒含量极低，或为死病毒，或为病 ..."
"昨天 11:20",5912,613,608,"5日，成都大熊猫繁育研究基地的大熊猫“圆润”和“艾莉”各自诞下一只雌性幼仔。其中，“艾莉”的幼仔初生体重达219克，是目前初生体重最重的宝宝。它刚出生便吃了6克母乳，远高于一般刚出生的大熊猫宝宝进食量。转起！愿大熊猫越来越多！！！  ..."
"昨天 10:46",7771,1011,1325,"看↓6月13日，第三季即将登场！等你来看哦~  "
"昨天 10:14",6573,477,607,"近日，南京市民报警称，小区总有“电动车报警声”扰民。民警循着声音查找，发现制造噪音的竟是一只小鸟……专家介绍，这是“黑领椋鸟”，被列入2012年濒危物种红色名录。  "
"昨天 09:16",8845,606,729,"近日，贵州遵义汇川区银沙桥附近发生火情。当消防人员到达时，附近路况复杂。11岁男孩卢俊杰主动奔跑着为消防车带路，担心消防车没看到自己，他反复回头挥手示意。转！赞！  "
"昨天 08:38",869,207,243,"6月8日0-24时，四川新增新冠肺炎确诊病例1例（境外输入，为6月7日的无症状感染者转确诊），无新增治愈出院病例，无新增疑似病例，无新增死亡病例。 "
"昨天 08:18",1231,258,203,"6月8日0-24时，广东省新增境外输入确诊病例2例，广州报告，均来自孟加拉国，在入境口岸发现，入境后即被隔离观察。 "
"昨天 08:01",14098,1753,2649,"晒化自己的黑白冰激凌  "
"昨天 07:27",44173,2551,1182,"当地时间8日，。根据《纽约时报》公布的数据，从2013年至2019年，每年都有至少1000名美国人死于警察暴力执法。尽管如此，因过度使用武力而被定罪的警察却极少。美国“警察暴力执法地图”组织称，从2013到2019年，99%的执法致死 ..."
"昨天 07:18",10396,1251,1275,"据朝中社报道，当地时间6月9日12时起，朝方有关部门彻底断绝并废除通过朝韩共同联络办公室一直维持的朝韩通讯联络线、朝韩军方之间的东西海通讯联络线、朝韩通讯试验联络线、朝鲜劳动党中央本部大楼和青瓦台之间的热线通讯联络线。（总台记者董海涛） "
"昨天 07:00",107274,3267,2789,"近日，湖南醴陵暴雨，大桥两边的水马被积水冲到桥面上，阻碍交通。路过外卖小哥刘琪不顾淋雨，立即停车清理水马，另一名路过的外卖小哥也前来帮忙……你愿为他们点赞吗？  "
"昨天 05:55",9213,1207,670,"据美国约翰斯·霍普金斯大学数据统计，7日13：53—8日16：33，美国新增确诊病例29099例，新增死亡904例。截至美东时间6月8日16：33，美国新冠肺炎确诊病例为1956527例，死亡病例110932例。（央视记者许弢） "
"昨天 00:10",4389,556,1632,"如果没有疫情，这两天许多同学本应在高考，毕业生的典礼和散伙饭可能早安排上了…确实难。最近刷屏的，这句话也送给此刻觉得很难的你。未来难免会有各种坎儿，遇到困难只有正面“刚”。加油吧！  ..."
06-08,5621,673,465,"当地时间8日上午，涉嫌对弗洛伊德实施“锁颈”致其死亡的警察德雷克·肖万的首次听证会，将在美国明尼阿波利斯市亨内平县地区法院举行。肖万将在监狱内通过视频远程参加庭审，记者现场解读！（央视记者刘旭）  . "
06-08,20192,1652,5577,"当鲸死去，它的尸体会缓缓沉入深海。海中，有数万生物体靠鲸落生存。即使只余一副骨架，鲸的遗骸也会化为礁岩，供一方生命栖息。而目前，国际上发现现代自然鲸落不足50个。，一起感受鲸最后的温柔，守护珍贵的海洋生命↓   ..."
06-08,11580,1391,919,"据武汉卫健委通报：武汉市对5月14日—6月1日集中核酸检测排查发现的300名无症状感染者，提取其痰液和咽拭子样本，经中科院武汉病毒所病毒分离培养，300人份样本均未培养出“活病毒”。<br />专家认为，无症状感染者痰液及咽拭子样本中未培 ..."
06-08,5096,907,748,"上周末，在美国数十个城市，成千上万人涌上街头，抗议种族主义和警察暴力执法。德国、英国、法国、澳大利亚等多个国家，也暴发大规模示威活动，反对种族歧视。航拍镜头记录下的各地抗议活动场景，十分震撼↓ "
06-08,1855,282,223,"据武汉交通：9日起，武汉天河机场至北京客运航线航班复航。南航将每天执飞武汉天河机场至北京大兴机场的往返航班，南航执飞的该航线将持续到6月27日。届时，将根据疫情防控情况和旅客出行需要，向国家民用航空局申请加密该航线。目前，东航、国 ..."
06-08,2689,390,766,"自新冠疫情发生以来，中国始终坚持公开、透明、负责任的抗疫原则。相形之下，那些攻击抹黑中国的美国政客，耽误本国疫情应对，甚至为一己私利隐瞒疫情，导致疫情暴发，不堪收拾。口无遮拦编瞎话的美国政客，还是赶紧闭上嘴巴，多干点为美国 ..."
06-08,11123,1627,1580,"中共中央、国务院印发的指出，按照发展的不同阶段，将对自贸港分步骤实施零关税、低税率、简税制的安排，每人每年。面对机会和挑战，海南应该如何做？看解读↓  . "
06-08,3827,1263,1244,"近日，，甲秀桥成水中“孤岛”，停满车辆；广东、湖南等8省（自治区）遭遇强降雨受灾。灾害已致176.3万人受灾，9人死亡，5人失踪。提醒防范，愿平安！  "
06-08,9606,878,1262,"今天，我国“探索一号”科考船完成马里亚纳海沟深渊科考任务后顺利返港。在航次中，全海深自主遥控潜水器“海斗一号”，刷新我国潜水器下潜深度纪录；成功完成首次万米海试与试验性应用任务，取得多项重大突破，填补了我国万米级作业型无人潜水器的空白。 ..."
06-08,2020,470,357,"根据疫情变化，自6月8日零时（北京时间）开始，目的地为北京的国际客运航班指定第一入境点调整为：成都、长沙、合肥、兰州、天津、石家庄、太原、呼和浩特、济南、青岛、南京、沈阳、大连、郑州、西安、武汉共16个，其中武汉为备用入境点。 ..."
06-08,671,238,119,"恭喜 等8名用户获得。微博官方唯一抽奖工具 对本次抽奖进行监督，结果公正有效。公示链接："
06-08,204626,7096,17398,"如果2020年可以重启，你想做些什么？我们和 邀请了他们来给出答案↓这些回答中，有他们在生活中感到最幸福的时刻，有想要去实现的梦想，也有他们的祝福。一起看！        ..."
06-08,33171,2646,1034,"近日，在美国弗吉尼亚州，又发生一起白人警察涉嫌对非洲裔男子暴力执法的事件。事发时，几位警员正在劝说一名非洲裔男子前往戒毒中心。之后，一位警员用电击枪击中男子，并骑在他身上，还将电击枪按在男子后背及脖子后。该男子被制伏后，不断地说自己无法呼吸。  ..."
06-08,2163,70,122,"  . "
06-08,5050,897,797,"牡丹江市委副书记、市长王文力：6月1日至7日，我们用7天时间完成了，对658772人进行了核酸检测，筛查出19名无症状感染者，病毒阳性检出率为万分之0.288。  "
06-08,10186,1792,521,"今天，黑龙江省牡丹江市政府新闻办公室举行新闻发布会，对近期相关情况进行介绍。关注！（总台央视记者任秋宇）  . "
06-08,92292,3734,2300,"近日，美国总统特朗普与前国务卿鲍威尔隔空互怼，并在愤怒中揭露了中东战争的真相。特朗普说，伊拉克没有大规模杀伤性武器，“我们却去打了一仗！”7日，鲍威尔接受CNN采访时，指责特朗普偏离美国宪法，损害美国形象。↓ ..."
06-08,13296,807,1906,"近日，蓬佩奥称“中国利用弗洛伊德之死进行宣传行动”。对此，华春莹在今天的外交部例行记者会上回应：美国新冠肺炎确诊病例已超190万，死亡病例已超11万。同时，由于弗洛伊德之死引发的大规模抗议活动仍在持续。我们真心为美国人民感到难过。希望他们能够尽快渡 ..."
06-08,89763,3684,8026,"华春莹：蓬佩奥说中方拒绝给香港人民自由，，在英国对香港156年殖民统治期间，香港有过民主和自由吗？28位港督当中，哪一位是由香港民众选举产生的？那个时候港人有上街抗议示威的自由吗？美方个别政客关心的并非香港所谓自由权利，而是为所欲为 ..."
06-08,10396,724,913,"近日，美国共和党参议员斯科特受访时称，美方有证据表明中国正试图破坏或延缓西方国家研发新冠肺炎疫苗，不希望美国率先研发出疫苗，但拒绝透露证据细节。对此，华春莹表示，这位议员既然说美方有证据表明中方试图破坏西方国家研发新冠肺炎疫苗，那么就请 ..."
06-08,3459,319,565,"回忆起乔安娜的角逐，张伟丽说：“第一个回合我俩互相提防，但第五回合我俩就拥抱了。格斗好像有语言，我们在场上没说话，但肢体交流让我们越来越尊重对方。我们都崇尚强者。”她还说，打比赛时，任何疼痛都能忍耐；她们打满25分钟，但 ..."
06-08,2200,351,318,"“我们处在痛苦中，停止杀害我们”；“你们可是老双标了”；“我们的肤色不是杀戮的理由”…在这场因“弗洛伊德之死”而引发的抗议中，大批美国非洲裔选择利用短视频发声，反对种族歧视。他们中有人痛哭，有人嬉笑怒骂，却表达了类似的心情。看视频↓  ..."
06-08,2040,313,279,"据湖北省纪委监委消息：武汉市人大常委会原副主任孙应征涉嫌严重违纪和职务违法，目前正在接受湖北省纪委监委纪律审查和监察调查，并被采取留置措施。（总台央视记者王莉） "
06-08,39697,1453,1733,"湖南53岁的唐先华，做义工30年，参与过汶川、玉树地震救援，帮助过千余位孤寡老人、留守儿童，曾获评“中国好人”。去年，跟他一起做义工的儿子患上尿毒症，却没钱做手术。老唐只得日夜画画，卖画筹钱。得知情况后，当地政府、市民、陌生网友自发 ..."
06-08,2293,453,1565,"海洋，约占地球总表面积的71%，孕育了上百万种生物，也为人类生活提供了必不可少的资源。然而，，海龟等会因误食塑料致消化系统堵塞而死亡…，转发呼吁，保护海洋环境！ "
